Date,Open,High,Low,Close,Adj Close,Volume
2020-08-03,148.289993,149.970001,147.220001,149.759995,148.448074,20777100
2020-08-04,149.389999,150.929993,149.039993,150.789993,149.469025,20285000
2020-08-05,152.289993,153.889999,151.779999,153.789993,152.442749,18526900
2020-08-06,153.800003,154.440002,152.910004,153.729996,152.383286,18237700
2020-08-07,153.449997,156.250000,153.149994,156.169998,154.801910,20475200
2020-08-10,156.649994,158.830002,156.649994,157.789993,156.407715,24000500
2020-08-11,159.270004,159.820007,156.160004,156.880005,155.505707,30359400
2020-08-12,158.669998,158.889999,156.490005,157.520004,156.140106,23402800
2020-08-13,156.990005,158.529999,156.649994,157.190002,155.812988,15799900
2020-08-14,156.279999,157.759995,155.869995,157.089996,155.713852,13360900
2020-08-17,157.500000,158.029999,156.740005,157.899994,156.516739,9744200
2020-08-18,157.850006,157.850006,155.710007,156.389999,155.019989,14670400
2020-08-19,156.929993,158.039993,156.190002,156.399994,155.029892,14337300
2020-08-20,154.800003,156.490005,154.539993,155.759995,154.395493,15413000
2020-08-21,155.149994,155.720001,153.600006,154.610001,153.255585,20685100
2020-08-24,155.860001,156.270004,154.330002,156.229996,154.861389,13707100
2020-08-25,156.809998,156.820007,154.789993,156.399994,155.029892,16269700
2020-08-26,156.500000,156.770004,155.179993,155.419998,154.058472,13772700
2020-08-27,156.119995,157.000000,154.630005,155.800003,154.435165,17508400
2020-08-28,156.600006,157.199997,155.729996,157.119995,155.743591,12371400
2020-08-31,157.190002,157.369995,155.300003,155.429993,154.068390,17051500
2020-09-01,155.220001,157.309998,154.449997,157.210007,155.832825,15654100
2020-09-02,157.960007,158.979996,156.179993,158.460007,157.071869,16763400
2020-09-03,158.119995,158.289993,152.960007,153.779999,152.432846,32117600
2020-09-04,155.710007,155.889999,149.289993,152.800003,151.461426,30618800
2020-09-08,151.179993,152.479996,149.000000,149.860001,148.547195,26447800
2020-09-09,151.429993,152.779999,150.570007,152.130005,150.797302,20160800
2020-09-10,152.830002,153.880005,150.059998,150.149994,148.834641,23005500
2020-09-11,150.919998,151.050003,147.679993,149.149994,147.843399,20851000
2020-09-14,150.589996,153.429993,150.369995,153.080002,151.738968,21991300
2020-09-15,154.380005,154.699997,152.860001,153.369995,152.026428,16175500
2020-09-16,154.110001,156.850006,153.839996,154.820007,153.463745,22178400
2020-09-17,152.619995,154.399994,151.750000,153.690002,152.343643,20002900
2020-09-18,153.979996,155.289993,151.139999,153.289993,151.947144,38352800
2020-09-21,149.820007,150.259995,146.330002,147.919998,146.624176,40652500
2020-09-22,148.649994,149.300003,146.559998,149.059998,147.754196,19385800
2020-09-23,148.410004,149.429993,143.979996,144.070007,143.352249,33403400
2020-09-24,144.039993,146.529999,142.089996,144.070007,143.352249,31723700
2020-09-25,143.440002,146.850006,143.350006,146.410004,145.680588,20689300
2020-09-28,148.369995,150.440002,146.399994,150.020004,149.272598,17600900
2020-09-29,149.850006,150.279999,148.000000,149.339996,148.595978,18683800
2020-09-30,149.899994,151.970001,148.490005,149.789993,149.043732,29073700
2020-10-01,150.809998,152.199997,149.490005,152.179993,151.421814,25872000
2020-10-02,149.410004,153.580002,148.990005,152.850006,152.088501,29452000
2020-10-05,154.490005,157.309998,154.479996,157.070007,156.287476,18553600
2020-10-06,158.500000,161.009995,156.339996,156.619995,155.839706,36348000
2020-10-07,158.589996,160.559998,158.460007,160.039993,159.242661,27049700
2020-10-08,161.720001,162.279999,160.580002,161.860001,161.053604,37278600
2020-10-09,163.350006,163.710007,161.809998,162.699997,161.889420,25038100
2020-10-12,163.399994,164.240005,162.600006,163.789993,162.973984,20336200
2020-10-13,162.520004,163.220001,161.479996,162.699997,161.889420,20106500
2020-10-14,163.009995,163.910004,160.940002,161.089996,160.287445,19063400
2020-10-15,159.289993,163.179993,158.809998,162.750000,161.939163,22865100
2020-10-16,163.210007,163.699997,162.309998,162.350006,161.541168,17637900
2020-10-19,162.880005,164.029999,160.029999,160.410004,159.610825,18360600
2020-10-20,161.559998,162.449997,160.339996,160.759995,159.959076,18927700
2020-10-21,160.869995,161.369995,159.289993,159.380005,158.585953,17504100
2020-10-22,160.139999,162.190002,159.179993,162.130005,161.322266,20673900
2020-10-23,163.070007,163.330002,161.250000,163.070007,162.257584,20889800
2020-10-26,160.919998,161.369995,157.380005,159.550003,158.755127,26509900
2020-10-27,159.449997,160.059998,157.940002,158.179993,157.391937,20523000
2020-10-28,154.660004,155.440002,153.039993,153.309998,152.546204,32338700
2020-10-29,152.770004,155.789993,151.669998,155.139999,154.367081,27203200
2020-10-30,154.320007,155.279999,151.389999,153.089996,152.327301,31764500
2020-11-02,154.770004,155.889999,153.669998,155.820007,155.043701,25252100
2020-11-03,158.429993,161.229996,158.059998,160.240005,159.441681,30257400
2020-11-04,157.750000,162.350006,157.710007,160.419998,159.620773,45226300
2020-11-05,162.009995,165.580002,161.910004,164.910004,164.088409,31911000
2020-11-06,165.619995,165.710007,163.300003,163.619995,162.804825,24930400
2020-11-09,176.949997,178.100006,169.330002,169.550003,168.705292,55052700
2020-11-10,171.199997,173.330002,169.750000,172.699997,171.839600,35492200
2020-11-11,173.339996,173.479996,170.860001,172.630005,171.769958,23972600
2020-11-12,171.399994,172.639999,168.339996,169.979996,169.133148,33986800
2020-11-13,171.350006,174.130005,171.309998,173.500000,172.635620,25440400
2020-11-16,176.490005,177.779999,175.399994,177.630005,176.745041,31812300
2020-11-17,176.039993,178.800003,174.279999,178.460007,177.570908,26154500
2020-11-18,178.940002,179.720001,175.860001,175.960007,175.083359,24377800
2020-11-19,175.649994,177.589996,175.070007,177.309998,176.426636,20187600
2020-11-20,176.669998,177.940002,175.830002,177.500000,176.615677,24898800
2020-11-23,179.250000,181.990005,178.729996,180.820007,179.919144,24816000
2020-11-24,183.389999,185.440002,182.360001,184.220001,183.302200,34945400
2020-11-25,183.500000,184.309998,181.889999,183.589996,182.675354,21082700
2020-11-27,183.720001,184.490005,183.220001,184.369995,183.451462,10384400
2020-11-30,183.820007,184.320007,180.320007,181.020004,180.118164,25481600
2020-12-01,183.600006,184.220001,181.020004,182.699997,181.789780,30324300
2020-12-02,181.949997,183.479996,180.759995,182.889999,181.978821,20142800
2020-12-03,183.339996,185.179993,182.940002,183.919998,183.003693,19603600
2020-12-04,185.020004,188.449997,183.919998,188.199997,187.262375,24415700
2020-12-07,188.229996,188.949997,187.440002,188.380005,187.441483,14671500
2020-12-08,187.119995,190.979996,187.080002,190.800003,189.849426,20165600
2020-12-09,192.020004,192.809998,187.899994,189.410004,188.466354,29507600
2020-12-10,187.759995,191.649994,187.309998,191.240005,190.287231,21245300
2020-12-11,189.990005,191.720001,188.300003,190.300003,189.351929,30865000
2020-12-14,191.960007,193.119995,189.880005,189.929993,189.573486,32237700
2020-12-15,191.759995,194.899994,190.729996,194.679993,194.314575,26906300
2020-12-16,195.130005,195.210007,192.960007,193.979996,193.615891,25494600
2020-12-17,194.729996,196.380005,194.059998,196.289993,195.921555,23834200
2020-12-18,196.610001,197.830002,194.800003,195.339996,194.973343,37033400
2020-12-21,191.899994,195.779999,191.479996,195.240005,194.873535,30873000
2020-12-22,195.990005,197.720001,195.389999,197.460007,197.089371,21919700
2020-12-23,198.570007,199.649994,197.899994,199.139999,198.766205,18392000
2020-12-24,199.929993,199.940002,198.059998,199.009995,198.636444,8904900
2020-12-28,201.160004,201.179993,198.130005,198.270004,197.897842,27168400
2020-12-29,198.639999,199.000000,193.440002,194.429993,194.065048,33901300
2020-12-30,195.050003,197.479996,195.029999,196.410004,196.041336,20595700
2020-12-31,196.619995,196.839996,194.619995,196.059998,195.691986,24747700
2021-01-04,197.539993,197.889999,190.940002,193.500000,193.136795,33664200
2021-01-05,193.089996,197.619995,193.070007,196.490005,196.121185,27442900
2021-01-06,199.479996,206.779999,199.160004,204.529999,204.146088,52952200
2021-01-07,205.710007,208.520004,205.699997,208.169998,207.779266,24031400
2021-01-08,209.320007,209.770004,204.660004,207.720001,207.330109,29017000
2021-01-11,205.089996,208.119995,204.830002,207.539993,207.150436,21000500
2021-01-12,208.520004,211.389999,208.490005,211.259995,210.863464,24892200
2021-01-13,211.429993,211.729996,209.190002,209.750000,209.356293,22782200
2021-01-14,211.240005,215.000000,211.130005,213.940002,213.538437,33913700
2021-01-15,210.809998,213.960007,208.259995,210.750000,210.354416,41043500
2021-01-19,213.339996,213.610001,211.720001,213.449997,213.049347,19744300
2021-01-20,214.360001,215.979996,213.070007,214.389999,213.987595,25474200
2021-01-21,214.970001,215.160004,211.949997,212.529999,212.131073,21236900
2021-01-22,210.490005,215.330002,209.550003,215.000000,214.596436,24800200
2021-01-25,214.929993,217.910004,211.600006,214.789993,214.386826,33985000
2021-01-26,216.300003,216.690002,212.770004,213.300003,212.899643,23969800
2021-01-27,209.500000,212.990005,207.289993,209.389999,208.996979,45830300
2021-01-28,210.839996,212.369995,207.630005,208.720001,208.328232,32202500
2021-01-29,209.729996,210.990005,204.839996,205.559998,205.174164,40545500
2021-02-01,208.169998,211.570007,205.759995,210.610001,210.214691,26375100
2021-02-02,213.149994,214.050003,210.889999,213.610001,213.209045,22773100
2021-02-03,213.699997,214.740005,211.589996,214.250000,213.847855,23923200
